127.0.0.1 - - [13/Mar/2023:19:12:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:12:38 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:13:30 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:15:57 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:07 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:43 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:46 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:57 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:59 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:17:07 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:17:20 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:06 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:06 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:07 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:19 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:00 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:38 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:38 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:38 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:22:40 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:29 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:30 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:30 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:30 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:24:23 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:27:54 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:06 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:15 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:32:09 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:35:31 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:17 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:36 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:44 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:59 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:38:29 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:35 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:36 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:36 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:36 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:48:52 +0900] "GET /day04/img.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:48:52 +0900] "GET /day04/baby.png HTTP/1.1" 200 1315
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:48:52 +0900] "GET /day04/childhood.png HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:48:52 +0900] "GET /day04/old.png HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:48:52 +0900] "GET /day04/adult.png HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:49 +0900] "GET /day04/img.html HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:49 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:49 +0900] "GET /day04/childhood.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:49 +0900] "GET /day04/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:49 +0900] "GET /day04/old.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:51:08 +0900] "GET /day04/img.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:51:08 +0900] "GET /day04/childhood.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:51:08 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:51:08 +0900] "GET /day04/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:51:08 +0900] "GET /day04/old.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:02:41 +0900] "GET /day04/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:02:41 +0900] "GET /day04/childhood.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:02:41 +0900] "GET /day04/baby.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:02:41 +0900] "GET /day04/adult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:02:41 +0900] "GET /day04/old.png HTTP/1.1" 304 -
